Date,Max_Temperature,Min_Temperature,Humidity,Rainfall,Dengue_Cases,Population,Population_Density,Altitude,Health_Facilities,Mosquito_Abundance
2023-09-29,25,14,56,3,23,132580,495,861,45,87
2021-11-14,28,24,80,13,4,960857,111,112,41,164
2020-10-21,27,11,79,10,15,386445,226,990,32,139
2022-09-08,30,23,83,6,35,610273,289,266,4,63
2021-01-02,25,17,90,8,26,936609,153,374,19,172
2022-05-25,30,11,86,17,37,812930,279,336,10,87
2023-02-01,36,24,84,6,11,704788,448,557,2,66
2020-02-17,37,17,70,10,20,966998,202,514,28,137
2023-05-26,27,30,73,12,1,558707,387,967,46,147
2022-06-25,37,17,67,2,47,697576,120,357,38,143
2021-01-26,21,11,61,15,38,128516,263,105,25,187
2020-11-11,32,25,50,1,40,928601,412,885,5,194
2023-06-20,30,25,85,15,42,610111,257,854,35,147
2022-05-20,32,10,83,19,1,496033,158,7,26,83
2023-01-06,34,29,60,17,31,134282,482,578,1,170
2022-09-06,32,11,80,13,15,181680,82,619,46,175
2020-11-22,38,17,66,20,2,353954,311,11,11,161
2023-09-25,26,10,85,18,44,735608,408,706,50,143
2020-05-05,23,15,55,9,15,935889,56,916,43,58
2021-05-06,37,27,83,20,44,464537,255,467,29,72
2020-02-08,26,29,52,4,39,384025,279,4,1,184
2022-08-09,32,19,64,11,50,596564,203,2,45,87
2022-07-28,34,29,60,17,3,114927,481,922,2,101
2021-08-15,40,24,58,6,29,150850,161,801,42,67
2021-06-14,32,28,53,4,13,847508,73,266,7,188
2023-03-09,33,30,58,1,37,363919,373,284,12,155
2020-01-15,30,23,70,14,5,245171,313,283,12,113
2020-01-07,20,27,52,0,9,716851,277,114,43,108
2023-03-04,22,27,89,5,43,251145,233,961,7,166
2020-07-04,27,23,58,18,49,993295,122,190,11,132
2022-06-16,37,15,84,3,17,363594,324,512,3,135
2021-08-17,22,22,57,9,42,425785,193,877,16,64
2021-01-04,28,19,52,3,26,683853,180,398,45,102
2020-05-05,22,22,75,0,42,289343,351,265,2,91
2021-01-17,28,17,78,9,10,855504,443,778,40,196
2020-01-03,38,26,67,6,23,559230,217,745,44,123
2023-01-16,24,20,71,18,13,384281,327,870,33,100
2023-01-17,20,12,86,4,21,591628,164,21,25,95
2022-07-30,29,13,65,4,26,707304,158,701,20,180
2021-12-04,40,18,68,5,21,498588,63,21,38,81
2020-04-15,35,27,78,15,29,474753,165,940,48,142
